date,state,district,pincode,bio_0_5,bio_5_17,bio_18_30,bio_30_60,bio_60_plus,bio_total,demo_0_5,demo_5_17,demo_18_30,demo_30_60,demo_60_plus,demo_total,mobile_updates,enrol_0_5,enrol_5_17,enrol_18_30,enrol_30_60,enrol_60_plus,enrol_total
2026-01-14,Andhra Pradesh,Nellore,534179,8,45,41,60,6,160,5,16,52,35,12,120,46,2321,5223,7254,10155,4062,29015
2026-01-15,Andhra Pradesh,Nellore,534179,6,15,14,18,6,59,3,6,14,10,5,38,12,2321,5223,7254,10155,4062,29015
2025-10-18,Andhra Pradesh,Guntur,537746,10,28,26,35,9,108,4,7,17,13,6,47,28,1990,4478,6220,8708,3483,24879
2025-10-19,Andhra Pradesh,Guntur,537746,11,43,40,57,9,160,3,9,28,19,7,66,48,1990,4478,6220,8708,3483,24879
2025-10-20,Andhra Pradesh,Guntur,537746,44,165,152,216,38,615,14,37,109,75,28,263,185,1990,4478,6220,8708,3483,24879
2025-10-21,Andhra Pradesh,Guntur,537746,33,128,118,168,28,475,10,28,85,58,21,202,145,1990,4478,6220,8708,3483,24879
2025-10-22,Andhra Pradesh,Guntur,537746,21,74,69,97,18,279,7,17,49,34,13,120,82,1990,4478,6220,8708,3483,24879
2025-10-23,Andhra Pradesh,Guntur,537746,0,18,16,27,0,61,0,1,13,8,0,22,28,1990,4478,6220,8708,3483,24879
2025-10-24,Andhra Pradesh,Guntur,537746,12,51,47,67,10,187,3,11,34,23,8,79,58,1990,4478,6220,8708,3483,24879
2025-10-25,Andhra Pradesh,Guntur,537746,2,27,24,37,1,91,0,4,19,12,2,37,35,1990,4478,6220,8708,3483,24879
2025-10-26,Andhra Pradesh,Guntur,537746,23,63,59,80,21,246,9,16,40,29,13,107,64,1990,4478,6220,8708,3483,24879
2025-10-27,Andhra Pradesh,Guntur,537746,48,184,170,242,41,685,15,41,122,84,31,293,208,1990,4478,6220,8708,3483,24879
2025-10-28,Andhra Pradesh,Guntur,537746,43,150,139,196,38,566,15,35,99,69,27,245,165,1990,4478,6220,8708,3483,24879
2025-10-29,Andhra Pradesh,Guntur,537746,22,76,71,99,19,287,7,17,50,35,13,122,84,1990,4478,6220,8708,3483,24879
2025-10-30,Andhra Pradesh,Guntur,537746,16,39,37,49,15,156,6,11,25,18,9,69,38,1990,4478,6220,8708,3483,24879
2025-10-31,Andhra Pradesh,Guntur,537746,8,33,31,44,7,123,2,7,22,15,5,51,38,1990,4478,6220,8708,3483,24879
2025-11-01,Andhra Pradesh,Guntur,537746,3,22,20,30,2,77,0,4,15,10,2,31,27,1990,4478,6220,8708,3483,24879
2025-11-02,Andhra Pradesh,Guntur,537746,5,35,32,48,4,124,1,6,24,16,4,51,44,1990,4478,6220,8708,3483,24879
2025-11-03,Andhra Pradesh,Guntur,537746,47,156,145,202,41,591,16,37,102,71,29,255,169,1990,4478,6220,8708,3483,24879
2025-11-04,Andhra Pradesh,Guntur,537746,25,95,87,124,21,352,8,21,63,43,16,151,107,1990,4478,6220,8708,3483,24879
2025-11-05,Andhra Pradesh,Guntur,537746,8,27,25,35,7,102,3,6,17,12,5,43,29,1990,4478,6220,8708,3483,24879
2025-11-06,Andhra Pradesh,Guntur,537746,4,9,9,12,3,37,1,2,6,4,2,15,9,1990,4478,6220,8708,3483,24879
2025-11-07,Andhra Pradesh,Guntur,537746,1,7,6,9,1,24,0,1,4,3,0,8,8,1990,4478,6220,8708,3483,24879
2025-11-08,Andhra Pradesh,Guntur,537746,4,14,13,18,4,53,1,3,9,6,2,21,15,1990,4478,6220,8708,3483,24879
2025-11-09,Andhra Pradesh,Guntur,537746,8,30,28,40,7,113,2,6,20,14,5,47,34,1990,4478,6220,8708,3483,24879
2025-11-10,Andhra Pradesh,Guntur,537746,23,104,96,139,19,381,6,21,70,47,15,159,122,1990,4478,6220,8708,3483,24879
2025-11-11,Andhra Pradesh,Guntur,537746,27,87,81,112,24,331,10,21,56,40,16,143,93,1990,4478,6220,8708,3483,24879
2025-11-12,Andhra Pradesh,Guntur,537746,4,16,15,21,4,60,1,3,10,7,3,24,17,1990,4478,6220,8708,3483,24879
2025-11-13,Andhra Pradesh,Guntur,537746,0,6,5,8,0,19,0,1,4,2,0,7,8,1990,4478,6220,8708,3483,24879
2025-11-14,Andhra Pradesh,Guntur,537746,0,0,0,2,0,2,0,0,1,0,0,1,6,1990,4478,6220,8708,3483,24879
2025-11-15,Andhra Pradesh,Guntur,537746,9,25,23,31,8,96,3,6,16,11,5,41,24,1990,4478,6220,8708,3483,24879
2025-11-16,Andhra Pradesh,Guntur,537746,10,40,37,53,9,149,3,9,26,18,6,62,45,1990,4478,6220,8708,3483,24879
2025-11-17,Andhra Pradesh,Guntur,537746,46,162,150,211,40,609,16,37,107,74,29,263,178,1990,4478,6220,8708,3483,24879
2025-11-18,Andhra Pradesh,Guntur,537746,40,132,123,171,35,501,14,31,86,60,24,215,143,1990,4478,6220,8708,3483,24879
2025-11-19,Andhra Pradesh,Guntur,537746,15,61,56,80,12,224,4,13,40,27,9,93,70,1990,4478,6220,8708,3483,24879
2025-11-20,Andhra Pradesh,Guntur,537746,0,6,4,12,0,22,0,0,6,2,0,8,18,1990,4478,6220,8708,3483,24879
2025-11-21,Andhra Pradesh,Guntur,537746,23,64,60,82,20,249,8,16,41,29,13,107,66,1990,4478,6220,8708,3483,24879
2025-11-22,Andhra Pradesh,Guntur,537746,9,35,32,46,8,130,3,8,23,16,6,56,39,1990,4478,6220,8708,3483,24879
2025-11-23,Andhra Pradesh,Guntur,537746,21,62,57,79,19,238,8,15,40,28,12,103,64,1990,4478,6220,8708,3483,24879
2025-11-24,Andhra Pradesh,Guntur,537746,64,212,196,274,56,802,23,50,138,97,39,347,229,1990,4478,6220,8708,3483,24879
2025-11-25,Andhra Pradesh,Guntur,537746,40,152,141,200,34,567,13,34,101,69,26,243,171,1990,4478,6220,8708,3483,24879
2025-11-26,Andhra Pradesh,Guntur,537746,34,102,95,131,30,392,12,25,66,47,20,170,107,1990,4478,6220,8708,3483,24879
2025-11-27,Andhra Pradesh,Guntur,537746,21,57,53,72,19,222,8,15,36,26,12,97,57,1990,4478,6220,8708,3483,24879
2025-11-28,Andhra Pradesh,Guntur,537746,25,69,64,87,23,268,10,18,44,32,15,119,69,1990,4478,6220,8708,3483,24879
2025-11-29,Andhra Pradesh,Guntur,537746,10,34,32,44,9,129,3,8,22,16,6,55,37,1990,4478,6220,8708,3483,24879
2025-11-30,Andhra Pradesh,Guntur,537746,10,45,41,60,8,164,3,9,30,20,7,69,53,1990,4478,6220,8708,3483,24879
2025-12-01,Andhra Pradesh,Guntur,537746,45,167,155,219,39,625,15,38,110,76,29,268,187,1990,4478,6220,8708,3483,24879
2025-12-02,Andhra Pradesh,Guntur,537746,33,119,110,156,28,446,11,27,79,54,21,192,133,1990,4478,6220,8708,3483,24879
2025-12-03,Andhra Pradesh,Guntur,537746,15,49,46,64,13,187,5,12,32,22,9,80,53,1990,4478,6220,8708,3483,24879
2025-12-04,Andhra Pradesh,Guntur,537746,2,8,7,10,2,29,0,2,5,3,1,11,8,1990,4478,6220,8708,3483,24879
2025-12-05,Andhra Pradesh,Guntur,537746,5,10,10,13,4,42,2,3,6,5,2,18,9,1990,4478,6220,8708,3483,24879
2025-12-06,Andhra Pradesh,Guntur,537746,6,19,18,25,6,74,2,5,12,9,4,32,20,1990,4478,6220,8708,3483,24879
2025-12-07,Andhra Pradesh,Guntur,537746,2,26,24,36,1,89,0,4,18,11,2,35,34,1990,4478,6220,8708,3483,24879
2025-12-08,Andhra Pradesh,Guntur,537746,42,136,126,176,37,517,15,32,89,62,25,223,146,1990,4478,6220,8708,3483,24879
2025-12-09,Andhra Pradesh,Guntur,537746,22,81,75,106,18,302,7,18,53,37,14,129,91,1990,4478,6220,8708,3483,24879
2025-12-10,Andhra Pradesh,Guntur,537746,13,28,27,35,12,115,5,8,17,13,7,50,26,1990,4478,6220,8708,3483,24879
2025-12-11,Andhra Pradesh,Guntur,537746,9,15,14,17,9,64,4,5,9,7,5,30,11,1990,4478,6220,8708,3483,24879
2025-12-12,Andhra Pradesh,Guntur,537746,0,2,1,4,0,7,0,0,2,0,0,2,7,1990,4478,6220,8708,3483,24879
2025-12-13,Andhra Pradesh,Guntur,537746,4,17,16,23,4,64,1,4,11,8,3,27,20,1990,4478,6220,8708,3483,24879
2025-12-14,Andhra Pradesh,Guntur,537746,6,33,30,44,4,117,1,6,22,14,4,47,40,1990,4478,6220,8708,3483,24879
2025-12-15,Andhra Pradesh,Guntur,537746,51,163,151,210,45,620,18,39,106,75,31,269,174,1990,4478,6220,8708,3483,24879
2025-12-16,Andhra Pradesh,Guntur,537746,22,100,92,133,17,364,6,20,67,45,14,152,117,1990,4478,6220,8708,3483,24879
2025-12-17,Andhra Pradesh,Guntur,537746,19,61,56,78,16,230,6,14,39,28,11,98,65,1990,4478,6220,8708,3483,24879
2025-12-18,Andhra Pradesh,Guntur,537746,8,25,23,32,7,95,3,6,16,11,5,41,26,1990,4478,6220,8708,3483,24879
2025-12-19,Andhra Pradesh,Guntur,537746,5,34,31,46,3,119,0,6,23,15,4,48,43,1990,4478,6220,8708,3483,24879
2025-12-20,Andhra Pradesh,Guntur,537746,11,36,34,47,10,138,4,8,23,16,7,58,39,1990,4478,6220,8708,3483,24879
2025-12-21,Andhra Pradesh,Guntur,537746,15,55,51,72,13,206,5,12,36,25,9,87,60,1990,4478,6220,8708,3483,24879
2025-12-22,Andhra Pradesh,Guntur,537746,54,197,182,257,46,736,18,44,130,90,34,316,219,1990,4478,6220,8708,3483,24879
2025-12-23,Andhra Pradesh,Guntur,537746,50,169,156,219,44,638,17,40,110,77,31,275,183,1990,4478,6220,8708,3483,24879
2025-12-24,Andhra Pradesh,Guntur,537746,25,94,87,123,22,351,8,21,62,43,16,150,105,1990,4478,6220,8708,3483,24879
2025-12-25,Andhra Pradesh,Guntur,537746,28,74,69,93,26,290,11,20,47,34,16,128,73,1990,4478,6220,8708,3483,24879
2025-12-26,Andhra Pradesh,Guntur,537746,29,82,77,105,26,319,11,21,53,38,17,140,84,1990,4478,6220,8708,3483,24879
2025-12-27,Andhra Pradesh,Guntur,537746,12,39,36,51,10,148,4,9,25,18,7,63,42,1990,4478,6220,8708,3483,24879
2025-12-28,Andhra Pradesh,Guntur,537746,13,52,48,69,11,193,4,11,34,23,8,80,59,1990,4478,6220,8708,3483,24879
2025-12-29,Andhra Pradesh,Guntur,537746,54,192,177,250,47,720,18,44,126,88,34,310,212,1990,4478,6220,8708,3483,24879
2025-12-30,Andhra Pradesh,Guntur,537746,40,143,132,186,35,536,14,33,94,65,25,231,158,1990,4478,6220,8708,3483,24879
2025-12-31,Andhra Pradesh,Guntur,537746,16,64,59,84,14,237,5,14,42,29,10,100,72,1990,4478,6220,8708,3483,24879
2026-01-01,Andhra Pradesh,Guntur,537746,0,6,5,10,0,21,0,0,5,2,0,7,11,1990,4478,6220,8708,3483,24879
2026-01-02,Andhra Pradesh,Guntur,537746,5,22,20,29,4,80,1,4,14,10,3,32,25,1990,4478,6220,8708,3483,24879
2026-01-03,Andhra Pradesh,Guntur,537746,7,24,22,31,6,90,2,5,16,11,4,38,26,1990,4478,6220,8708,3483,24879
2026-01-04,Andhra Pradesh,Guntur,537746,20,50,47,63,19,199,8,14,32,23,11,88,49,1990,4478,6220,8708,3483,24879
2026-01-05,Andhra Pradesh,Guntur,537746,48,144,134,185,43,554,8,26,83,56,19,192,145,1990,4478,6220,8708,3483,24879
2026-01-06,Andhra Pradesh,Guntur,537746,26,94,87,123,23,353,9,21,62,43,16,151,104,1990,4478,6220,8708,3483,24879
2026-01-07,Andhra Pradesh,Guntur,537746,7,25,23,32,7,94,2,6,16,11,4,39,27,1990,4478,6220,8708,3483,24879
2026-01-08,Andhra Pradesh,Guntur,537746,0,0,0,3,0,3,7,8,11,10,7,43,12,1990,4478,6220,8708,3483,24879
2026-01-09,Andhra Pradesh,Guntur,537746,5,10,10,13,4,42,2,3,6,5,2,18,9,1990,4478,6220,8708,3483,24879
2026-01-10,Andhra Pradesh,Guntur,537746,4,16,15,22,3,60,1,3,11,7,2,24,19,1990,4478,6220,8708,3483,24879
2026-01-11,Andhra Pradesh,Guntur,537746,13,40,37,52,12,154,5,10,26,18,8,67,42,1990,4478,6220,8708,3483,24879
2026-01-12,Andhra Pradesh,Guntur,537746,31,130,120,171,26,478,9,28,86,59,20,202,149,1990,4478,6220,8708,3483,24879
2026-01-13,Andhra Pradesh,Guntur,537746,41,122,114,157,36,470,15,30,79,56,24,204,128,1990,4478,6220,8708,3483,24879
2026-01-14,Andhra Pradesh,Guntur,537746,15,49,46,64,13,187,5,11,32,22,9,79,53,1990,4478,6220,8708,3483,24879
2026-01-15,Andhra Pradesh,Guntur,537746,1,9,8,12,1,31,0,1,6,4,1,12,11,1990,4478,6220,8708,3483,24879
2025-10-18,Andhra Pradesh,Visakhapatnam,523290,21,74,68,96,19,278,23,53,148,104,41,369,80,5874,13218,18358,25702,10280,73432
2025-10-19,Andhra Pradesh,Visakhapatnam,523290,51,154,143,197,45,590,50,109,297,209,86,751,161,5874,13218,18358,25702,10280,73432
2025-10-20,Andhra Pradesh,Visakhapatnam,523290,162,546,506,708,142,2064,175,393,1092,764,306,2730,592,5874,13218,18358,25702,10280,73432
2025-10-21,Andhra Pradesh,Visakhapatnam,523290,111,398,367,518,96,1490,125,288,811,566,223,2013,439,5874,13218,18358,25702,10280,73432
2025-10-22,Andhra Pradesh,Visakhapatnam,523290,84,265,246,341,75,1011,86,189,518,363,148,1304,281,5874,13218,18358,25702,10280,73432
2025-10-23,Andhra Pradesh,Visakhapatnam,523290,22,92,85,122,19,340,28,68,195,135,52,478,105,5874,13218,18358,25702,10280,73432
2025-10-24,Andhra Pradesh,Visakhapatnam,523290,55,182,168,235,48,688,58,130,361,253,102,904,196,5874,13218,18358,25702,10280,73432
2025-10-25,Andhra Pradesh,Visakhapatnam,523290,40,122,113,157,35,467,40,87,236,166,68,597,128,5874,13218,18358,25702,10280,73432
2025-10-26,Andhra Pradesh,Visakhapatnam,523290,46,164,152,214,39,615,51,119,334,233,92,829,181,5874,13218,18358,25702,10280,73432
2025-10-27,Andhra Pradesh,Visakhapatnam,523290,182,615,570,797,160,2324,197,443,1231,861,344,3076,667,5874,13218,18358,25702,10280,73432
2025-10-28,Andhra Pradesh,Visakhapatnam,523290,143,478,442,618,126,1807,153,343,952,667,267,2382,516,5874,13218,18358,25702,10280,73432
2025-10-29,Andhra Pradesh,Visakhapatnam,523290,81,260,241,336,72,990,84,186,512,359,145,1286,277,5874,13218,18358,25702,10280,73432
2025-10-30,Andhra Pradesh,Visakhapatnam,523290,18,71,66,93,15,263,22,52,148,103,40,365,80,5874,13218,18358,25702,10280,73432
2025-10-31,Andhra Pradesh,Visakhapatnam,523290,19,84,77,111,16,307,25,62,179,124,47,437,97,5874,13218,18358,25702,10280,73432
2025-11-01,Andhra Pradesh,Visakhapatnam,523290,27,87,80,112,23,329,28,62,171,120,48,429,93,5874,13218,18358,25702,10280,73432
2025-11-02,Andhra Pradesh,Visakhapatnam,523290,42,139,128,179,37,525,44,99,274,192,77,686,149,5874,13218,18358,25702,10280,73432
2025-11-03,Andhra Pradesh,Visakhapatnam,523290,142,477,442,618,125,1804,153,343,953,667,267,2383,517,5874,13218,18358,25702,10280,73432
